Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
PLACE OF WORSHIP,CENTRAL REGION,CECIL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CECIL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
OPEN SPACE,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
OPEN SPACE,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CECIL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CECIL,DOWNTOWN CORE,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON CENTRAL,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,KOVAN,HOUGANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,HOLLAND ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
